id;product;calories;fat;saturated;trans; monounsaturated; polyunsaturated;cholesterol;total;starch;sugar;added;protein;fiber; salt
04.101;Rognleverpostei, Svolvær-/Lofotpostei;408;38,6;6;0;15,7;12,5;228;2,1;1,1;1,1;0,9;12,4;2;1,8
04.286;Seilaks, i olje, avrent;159;11,4;1,6;0;2,6;6,5;42;0;0;0;0;14,2;0;2,9
04.033;Sild, kryddersild;187;9;2;0;5;1;50;16,4;0;16,4;0;10,1;0;2,8
04.287;Sild, marinert, i majones/rømme;303;21,9;3,8;0,1;11,5;4,7;23;20,8;0;20,8;18,6;5,6;0;2,5
04.288;Sild, marinert, sennepssild;250;13,6;1,9;0;7,1;3,3;10;25,6;0,9;24,7;23;6,1;0;2,8
04.290;Sild, sursild, innlagt, avrent;180;7;1;0;3;2;41;21,5;0;21,5;10;7,6;0;3
04.366;Surimi, LobNobs;91;0,5;0,1;0;0,2;0,2;M;11,3;M;4,2;M;10,4;0;2,1
04.106;Tunfisk, i gele, hermetisk;70;0,4;0,1;0;0,1;0,1;30;0;0;0;0;16,5;0;1
04.107;Tunfisk, i olje, avrent, hermetisk;259;18,9;2,7;0;4,3;10,8;38;0;0;0;0;22,3;0;0,1
04.285;Tunfisk, i olje, ikke avrent, hermetisk;211;13,5;1,8;0;3,7;7,4;45;0;0;0;0;22,3;0;0,8
04.108;Tunfisk, i vann, avrent, hermetisk;105;1;0,2;0;0,1;0,3;56;0;0;0;0;24,1;0;1
;;;;;;;;;;;;;;;
4.2;Retter med fisk, skalldyr o.l.;;;;;;;;;;;;;;
04.323;Fiskeburger, panert, med brød, ost, saus, kjøpt;243;11,3;2,1;0,5;4,1;3,7;22;24,2;21,2;3;1,5;9,6;3;1,2
04.363;Fiskegrateng, Coop X-tra Fiskegrateng;117;4,6;0,5;0;2,5;1,3;25;11,2;7,2;4;0;7,3;1;0,8
04.362;Fiskegrateng, Enghav Fiskegrateng med makaroni;118;4,8;0,6;0;2,6;1,4;25;11,1;7,1;4;0;7,2;1;0,8
04.361;Fiskegrateng, Findus Familiens fiskegrateng;135;4,7;0,6;0;2,7;1,5;52;14,5;12;2,5;M;8;1;0,8
04.364;Fiskegrateng, First Price Fiskegrateng med makaroni;109;4,4;0,5;0;2,5;1,3;25;9,6;5,8;3,8;M;7,5;1;0,7
04.365;Fiskegrateng, kjøpt;120;4,6;0,6;0;2,6;1,4;32;11,6;8;3,6;M;7,5;1;0,8
04.292;Fiskegrateng, med egg og makaroni, ovnsstekt;153;8,7;2,6;0;3,5;1,7;107;7,4;5,6;1,9;0;11;0;0,7
04.291;Fiskegrateng, med egg, ovnsstekt;153;8,2;2,5;0;3,4;1,6;116;6,4;4,6;1,8;0;13,3;0;0,6
