id;product;omega3; omega6;vitaminA; retinol; betacarotene; vitaminD; vitaminE; thiamine;riboflavin;niacin;vitaminB6;folate;vitamineB12; vitamineC; calcium; iron;sodium;potassium;magnesium; zinc;selenium; copper;phosphorus; iodine
1;Melk og melkeprodukter;;;;;;;;;;;;;;;;;;;;;;;;
1.1;Melk og melkebasert drikke;;;;;;;;;;;;;;;;;;;;;;;;
01.271;Kremost, lett, Philadelphia;0,14;0,36;169;168;11;0,1;0,4;0,02;0,1;0;0,02;18;0,1;0;52;0,1;159;42;4;0,4;4;M;57;14
01.204;Magerost, smørbar, 10 % fett;0,05;0,17;53;51;24;0,1;0,2;0,07;0,23;0,1;0,06;7;0,4;0;552;0,3;1130;96;26;2,6;1;0,05;740;6
01.202;Magerost, smørbar, 3 % fett;0,02;0,06;24;23;11;0;0,1;0,07;0,23;0,1;0,06;7;0,4;0;513;0,3;1000;100;25;2,6;1;0,05;741;6
01.064;Magerost, smørbar, 7 % fett;0,04;0,12;53;51;24;0;0,2;0,07;0,23;0,1;0,06;7;0,4;0;510;0,3;860;96;26;2,6;1;0,05;740;6
01.297;Mozzarella, i lake, importert;0,11;0,54;166;163;33;0;0,4;0,01;0,19;0;0;8;1,1;0;306;0,1;198;26;12;2,4;0;M;227;19
01.138;Mozzarella, lett, norsk;0,06;0,06;152;144;94;0;0,4;0,09;0,36;0,5;0,04;49;2,8;0;940;0,3;400;89;38;5,3;12;0,05;690;35
01.040;Norvegia, gulost, lett;0,06;0,06;161;155;77;0;0,4;0,24;0,26;1,9;0,04;42;2,4;0;930;0,2;470;73;38;5,2;10;0,04;680;17
01.142;Nøkkelost, lett;0,06;0,06;152;144;94;0;0,4;0,09;0,35;0,5;0,04;48;2,8;0;940;0,2;560;88;38;5,2;12;0,05;680;35
01.059;Prim;0,03;0,03;74;70;45;0;0,2;0,22;1,12;0;0,17;32;1;0;363;0,1;320;1233;67;0,2;6;0,01;430;68
01.060;Prim, lett;0,02;0,02;38;36;24;0;0,1;0,22;0,88;0;0;53;1;0;341;0,1;300;1273;71;0,1;6;0;399;68
01.220;Prim, med jern, Sprett;0,03;0,03;76;72;47;0;0,2;0,22;0,87;0;0;52;1;0;343;10;300;1256;70;0,1;6;0;398;68
01.250;Pultost, Hedemark;0;0;10;9;6;0;0;0,06;0,89;2,9;0,1;26;0,9;0;180;0,3;900;117;16;3,4;24;0,1;630;42
01.047;Pultost, Løiten;0;0;10;9;6;0;0;0,04;0,57;1,9;0,06;17;0,6;0;110;0,2;800;75;10;2,2;15;0,07;400;26
01.266;Ricotta, ferskost;0,11;0,27;120;117;33;0,2;0,1;0,01;0,2;0,1;0,04;12;0,3;0;207;0,4;84;105;11;1,2;15;0,02;158;8
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
2;Egg;;;;;;;;;;;;;;;;;;;;;;;;
2.1;Egg, rå;;;;;;;;;;;;;;;;;;;;;;;;
02.001;Egg, rå;0,17;1,92;175;175;0;2,5;5,1;0,08;0,39;0;0,14;68;1,3;0;55;2;145;140;13;1,4;22;0,07;205;34
02.030;Egg, økologisk, rå;0,24;1,61;195;195;0;4;6,6;0,07;0,39;0;0,13;54;1,5;0;47;1,8;145;140;12;1,1;32;0,06;195;38
02.010;Eggedosis;0,13;1,48;135;135;0;1,9;3,9;0,06;0,3;0;0,1;52;1;0;42;1,5;112;108;10;1;17;0,05;158;26
